Titularidad;Sexo;Comunidad autónoma/provincia;Curso;Total
TODOS LOS CENTROS;AMBOS SEXOS;Palencia;Tercero;5
TODOS LOS CENTROS;AMBOS SEXOS;Palencia;Cuarto;4,4
TODOS LOS CENTROS;AMBOS SEXOS;Salamanca;Total;4,4
TODOS LOS CENTROS;AMBOS SEXOS;Salamanca;Primero;6
TODOS LOS CENTROS;AMBOS SEXOS;Salamanca;Segundo;4
TODOS LOS CENTROS;AMBOS SEXOS;Salamanca;Tercero;3,6
TODOS LOS CENTROS;AMBOS SEXOS;Salamanca;Cuarto;3,8
TODOS LOS CENTROS;AMBOS SEXOS;Segovia;Total;5,2
TODOS LOS CENTROS;AMBOS SEXOS;Segovia;Primero;7,2
TODOS LOS CENTROS;AMBOS SEXOS;Segovia;Segundo;4,8
TODOS LOS CENTROS;AMBOS SEXOS;Segovia;Tercero;4,8
TODOS LOS CENTROS;AMBOS SEXOS;Segovia;Cuarto;3,8
TODOS LOS CENTROS;AMBOS SEXOS;Soria;Total;2,9
TODOS LOS CENTROS;AMBOS SEXOS;Soria;Primero;3,5
TODOS LOS CENTROS;AMBOS SEXOS;Soria;Segundo;3,4
TODOS LOS CENTROS;AMBOS SEXOS;Soria;Tercero;3,5
TODOS LOS CENTROS;AMBOS SEXOS;Soria;Cuarto;1,2
TODOS LOS CENTROS;AMBOS SEXOS;Valladolid;Total;4,5
TODOS LOS CENTROS;AMBOS SEXOS;Valladolid;Primero;5,7
TODOS LOS CENTROS;AMBOS SEXOS;Valladolid;Segundo;4,7
TODOS LOS CENTROS;AMBOS SEXOS;Valladolid;Tercero;3,9
TODOS LOS CENTROS;AMBOS SEXOS;Valladolid;Cuarto;3,4
TODOS LOS CENTROS;AMBOS SEXOS;Zamora;Total;4
TODOS LOS CENTROS;AMBOS SEXOS;Zamora;Primero;5,7
TODOS LOS CENTROS;AMBOS SEXOS;Zamora;Segundo;4,4
TODOS LOS CENTROS;AMBOS SEXOS;Zamora;Tercero;3,6
TODOS LOS CENTROS;AMBOS SEXOS;Zamora;Cuarto;2
TODOS LOS CENTROS;AMBOS SEXOS;08 CASTILLA-LA MANCHA;Total;4,8
TODOS LOS CENTROS;AMBOS SEXOS;08 CASTILLA-LA MANCHA;Primero;6
TODOS LOS CENTROS;AMBOS SEXOS;08 CASTILLA-LA MANCHA;Segundo;4,9
TODOS LOS CENTROS;AMBOS SEXOS;08 CASTILLA-LA MANCHA;Tercero;4,3
TODOS LOS CENTROS;AMBOS SEXOS;08 CASTILLA-LA MANCHA;Cuarto;3,6
TODOS LOS CENTROS;AMBOS SEXOS;Albacete;Total;3,3
TODOS LOS CENTROS;AMBOS SEXOS;Albacete;Primero;4,6
TODOS LOS CENTROS;AMBOS SEXOS;Albacete;Segundo;3,2
TODOS LOS CENTROS;AMBOS SEXOS;Albacete;Tercero;2,9
TODOS LOS CENTROS;AMBOS SEXOS;Albacete;Cuarto;2,4
TODOS LOS CENTROS;AMBOS SEXOS;Ciudad Real;Total;3,7
TODOS LOS CENTROS;AMBOS SEXOS;Ciudad Real;Primero;5,1
TODOS LOS CENTROS;AMBOS SEXOS;Ciudad Real;Segundo;4,2
TODOS LOS CENTROS;AMBOS SEXOS;Ciudad Real;Tercero;3,1
TODOS LOS CENTROS;AMBOS SEXOS;Ciudad Real;Cuarto;2,2
TODOS LOS CENTROS;AMBOS SEXOS;Cuenca;Total;9,3
TODOS LOS CENTROS;AMBOS SEXOS;Cuenca;Primero;10,8
TODOS LOS CENTROS;AMBOS SEXOS;Cuenca;Segundo;9,4
TODOS LOS CENTROS;AMBOS SEXOS;Cuenca;Tercero;8,7
TODOS LOS CENTROS;AMBOS SEXOS;Cuenca;Cuarto;7,9
TODOS LOS CENTROS;AMBOS SEXOS;Guadalajara;Total;4,4
TODOS LOS CENTROS;AMBOS SEXOS;Guadalajara;Primero;5,3
TODOS LOS CENTROS;AMBOS SEXOS;Guadalajara;Segundo;3,6
TODOS LOS CENTROS;AMBOS SEXOS;Guadalajara;Tercero;4,8
TODOS LOS CENTROS;AMBOS SEXOS;Guadalajara;Cuarto;3,8
TODOS LOS CENTROS;AMBOS SEXOS;Toledo;Total;5,3
TODOS LOS CENTROS;AMBOS SEXOS;Toledo;Primero;6,5
TODOS LOS CENTROS;AMBOS SEXOS;Toledo;Segundo;5,6
TODOS LOS CENTROS;AMBOS SEXOS;Toledo;Tercero;4,6
TODOS LOS CENTROS;AMBOS SEXOS;Toledo;Cuarto;3,9
TODOS LOS CENTROS;AMBOS SEXOS;09 CATALUÑA;Total;2,2
TODOS LOS CENTROS;AMBOS SEXOS;09 CATALUÑA;Primero;1,5
TODOS LOS CENTROS;AMBOS SEXOS;09 CATALUÑA;Segundo;1,9
TODOS LOS CENTROS;AMBOS SEXOS;09 CATALUÑA;Tercero;2,3
TODOS LOS CENTROS;AMBOS SEXOS;09 CATALUÑA;Cuarto;3,2
TODOS LOS CENTROS;AMBOS SEXOS;Barcelona;Total;2,1
TODOS LOS CENTROS;AMBOS SEXOS;Barcelona;Primero;1,5
TODOS LOS CENTROS;AMBOS SEXOS;Barcelona;Segundo;1,7
TODOS LOS CENTROS;AMBOS SEXOS;Barcelona;Tercero;2,2
TODOS LOS CENTROS;AMBOS SEXOS;Barcelona;Cuarto;3,1
TODOS LOS CENTROS;AMBOS SEXOS;Girona;Total;2,1
TODOS LOS CENTROS;AMBOS SEXOS;Girona;Primero;1,1
TODOS LOS CENTROS;AMBOS SEXOS;Girona;Segundo;1,6
TODOS LOS CENTROS;AMBOS SEXOS;Girona;Tercero;2
TODOS LOS CENTROS;AMBOS SEXOS;Girona;Cuarto;3,6
TODOS LOS CENTROS;AMBOS SEXOS;Lleida;Total;2,9
TODOS LOS CENTROS;AMBOS SEXOS;Lleida;Primero;2,2
TODOS LOS CENTROS;AMBOS SEXOS;Lleida;Segundo;2,6
TODOS LOS CENTROS;AMBOS SEXOS;Lleida;Tercero;3,2
TODOS LOS CENTROS;AMBOS SEXOS;Lleida;Cuarto;3,5
TODOS LOS CENTROS;AMBOS SEXOS;Tarragona;Total;2,7
TODOS LOS CENTROS;AMBOS SEXOS;Tarragona;Primero;1,6
TODOS LOS CENTROS;AMBOS SEXOS;Tarragona;Segundo;2,7
TODOS LOS CENTROS;AMBOS SEXOS;Tarragona;Tercero;2,8
TODOS LOS CENTROS;AMBOS SEXOS;Tarragona;Cuarto;3,5
TODOS LOS CENTROS;AMBOS SEXOS;10 COMUNITAT VALENCIANA;Total;3,9
TODOS LOS CENTROS;AMBOS SEXOS;10 COMUNITAT VALENCIANA;Primero;4,9
TODOS LOS CENTROS;AMBOS SEXOS;10 COMUNITAT VALENCIANA;Segundo;4,1
TODOS LOS CENTROS;AMBOS SEXOS;10 COMUNITAT VALENCIANA;Tercero;3,7
TODOS LOS CENTROS;AMBOS SEXOS;10 COMUNITAT VALENCIANA;Cuarto;2,5
TODOS LOS CENTROS;AMBOS SEXOS;Alicante/Alacant;Total;4,4
TODOS LOS CENTROS;AMBOS SEXOS;Alicante/Alacant;Primero;5,2
TODOS LOS CENTROS;AMBOS SEXOS;Alicante/Alacant;Segundo;4,8
TODOS LOS CENTROS;AMBOS SEXOS;Alicante/Alacant;Tercero;4,1
TODOS LOS CENTROS;AMBOS SEXOS;Alicante/Alacant;Cuarto;3,1
TODOS LOS CENTROS;AMBOS SEXOS;Castellón/Castelló;Total;3,7
TODOS LOS CENTROS;AMBOS SEXOS;Castellón/Castelló;Primero;5,2
TODOS LOS CENTROS;AMBOS SEXOS;Castellón/Castelló;Segundo;3,7
TODOS LOS CENTROS;AMBOS SEXOS;Castellón/Castelló;Tercero;3,5
TODOS LOS CENTROS;AMBOS SEXOS;Castellón/Castelló;Cuarto;2,1
TODOS LOS CENTROS;AMBOS SEXOS;Valencia/València;Total;3,6
TODOS LOS CENTROS;AMBOS SEXOS;Valencia/València;Primero;4,7
TODOS LOS CENTROS;AMBOS SEXOS;Valencia/València;Segundo;3,7
TODOS LOS CENTROS;AMBOS SEXOS;Valencia/València;Tercero;3,6
TODOS LOS CENTROS;AMBOS SEXOS;Valencia/València;Cuarto;2,2
TODOS LOS CENTROS;AMBOS SEXOS;11 EXTREMADURA;Total;3,1
TODOS LOS CENTROS;AMBOS SEXOS;11 EXTREMADURA;Primero;4,2
TODOS LOS CENTROS;AMBOS SEXOS;11 EXTREMADURA;Segundo;3,5
TODOS LOS CENTROS;AMBOS SEXOS;11 EXTREMADURA;Tercero;2,2
TODOS LOS CENTROS;AMBOS SEXOS;11 EXTREMADURA;Cuarto;2,2
TODOS LOS CENTROS;AMBOS SEXOS;Badajoz;Total;3
TODOS LOS CENTROS;AMBOS SEXOS;Badajoz;Primero;3,9
TODOS LOS CENTROS;AMBOS SEXOS;Badajoz;Segundo;3,4
TODOS LOS CENTROS;AMBOS SEXOS;Badajoz;Tercero;2,3
TODOS LOS CENTROS;AMBOS SEXOS;Badajoz;Cuarto;2
TODOS LOS CENTROS;AMBOS SEXOS;Cáceres;Total;3,3
TODOS LOS CENTROS;AMBOS SEXOS;Cáceres;Primero;4,8
TODOS LOS CENTROS;AMBOS SEXOS;Cáceres;Segundo;3,8
TODOS LOS CENTROS;AMBOS SEXOS;Cáceres;Tercero;2,1
TODOS LOS CENTROS;AMBOS SEXOS;Cáceres;Cuarto;2,4
TODOS LOS CENTROS;AMBOS SEXOS;12 GALICIA;Total;2,5
TODOS LOS CENTROS;AMBOS SEXOS;12 GALICIA;Primero;3,2
TODOS LOS CENTROS;AMBOS SEXOS;12 GALICIA;Segundo;2,5
TODOS LOS CENTROS;AMBOS SEXOS;12 GALICIA;Tercero;2,3
TODOS LOS CENTROS;AMBOS SEXOS;12 GALICIA;Cuarto;1,9
TODOS LOS CENTROS;AMBOS SEXOS;A Coruña;Total;2,4
TODOS LOS CENTROS;AMBOS SEXOS;A Coruña;Primero;3,2
TODOS LOS CENTROS;AMBOS SEXOS;A Coruña;Segundo;2,2
TODOS LOS CENTROS;AMBOS SEXOS;A Coruña;Tercero;2,3
TODOS LOS CENTROS;AMBOS SEXOS;A Coruña;Cuarto;1,7
TODOS LOS CENTROS;AMBOS SEXOS;Lugo;Total;3,1
TODOS LOS CENTROS;AMBOS SEXOS;Lugo;Primero;4,3
TODOS LOS CENTROS;AMBOS SEXOS;Lugo;Segundo;3,4
TODOS LOS CENTROS;AMBOS SEXOS;Lugo;Tercero;2,4
TODOS LOS CENTROS;AMBOS SEXOS;Lugo;Cuarto;2,1
TODOS LOS CENTROS;AMBOS SEXOS;Ourense;Total;2,9
TODOS LOS CENTROS;AMBOS SEXOS;Ourense;Primero;4,1
TODOS LOS CENTROS;AMBOS SEXOS;Ourense;Segundo;2,8
TODOS LOS CENTROS;AMBOS SEXOS;Ourense;Tercero;2,5
TODOS LOS CENTROS;AMBOS SEXOS;Ourense;Cuarto;2,1
TODOS LOS CENTROS;AMBOS SEXOS;Pontevedra;Total;2,5
TODOS LOS CENTROS;AMBOS SEXOS;Pontevedra;Primero;2,8
TODOS LOS CENTROS;AMBOS SEXOS;Pontevedra;Segundo;2,6
TODOS LOS CENTROS;AMBOS SEXOS;Pontevedra;Tercero;2,3
TODOS LOS CENTROS;AMBOS SEXOS;Pontevedra;Cuarto;2
TODOS LOS CENTROS;AMBOS SEXOS;13 MADRID, COMUNIDAD DE;Total;4,4
TODOS LOS CENTROS;AMBOS SEXOS;13 MADRID, COMUNIDAD DE;Primero;5
TODOS LOS CENTROS;AMBOS SEXOS;13 MADRID, COMUNIDAD DE;Segundo;4,7
TODOS LOS CENTROS;AMBOS SEXOS;13 MADRID, COMUNIDAD DE;Tercero;4,2
TODOS LOS CENTROS;AMBOS SEXOS;13 MADRID, COMUNIDAD DE;Cuarto;3,6
TODOS LOS CENTROS;AMBOS SEXOS;14 MURCIA, REGIÓN DE;Total;7,4
TODOS LOS CENTROS;AMBOS SEXOS;14 MURCIA, REGIÓN DE;Primero;8,5
TODOS LOS CENTROS;AMBOS SEXOS;14 MURCIA, REGIÓN DE;Segundo;8,1
TODOS LOS CENTROS;AMBOS SEXOS;14 MURCIA, REGIÓN DE;Tercero;6,4
TODOS LOS CENTROS;AMBOS SEXOS;14 MURCIA, REGIÓN DE;Cuarto;6,1
TODOS LOS CENTROS;AMBOS SEXOS;15 NAVARRA, COMUNIDAD FORAL DE;Total;3,3
TODOS LOS CENTROS;AMBOS SEXOS;15 NAVARRA, COMUNIDAD FORAL DE;Primero;4,1
TODOS LOS CENTROS;AMBOS SEXOS;15 NAVARRA, COMUNIDAD FORAL DE;Segundo;3,7
TODOS LOS CENTROS;AMBOS SEXOS;15 NAVARRA, COMUNIDAD FORAL DE;Tercero;2,9
TODOS LOS CENTROS;AMBOS SEXOS;15 NAVARRA, COMUNIDAD FORAL DE;Cuarto;2,5
TODOS LOS CENTROS;AMBOS SEXOS;16 PAÍS VASCO;Total;3,6
TODOS LOS CENTROS;AMBOS SEXOS;16 PAÍS VASCO;Primero;4,6
TODOS LOS CENTROS;AMBOS SEXOS;16 PAÍS VASCO;Segundo;4,4
TODOS LOS CENTROS;AMBOS SEXOS;16 PAÍS VASCO;Tercero;3
TODOS LOS CENTROS;AMBOS SEXOS;16 PAÍS VASCO;Cuarto;2,3
TODOS LOS CENTROS;AMBOS SEXOS;Araba/Álava;Total;5,5
TODOS LOS CENTROS;AMBOS SEXOS;Araba/Álava;Primero;6,6
TODOS LOS CENTROS;AMBOS SEXOS;Araba/Álava;Segundo;6,6
TODOS LOS CENTROS;AMBOS SEXOS;Araba/Álava;Tercero;4,4
TODOS LOS CENTROS;AMBOS SEXOS;Araba/Álava;Cuarto;4,1
TODOS LOS CENTROS;AMBOS SEXOS;Gipuzkoa;Total;2,9
TODOS LOS CENTROS;AMBOS SEXOS;Gipuzkoa;Primero;3,5
TODOS LOS CENTROS;AMBOS SEXOS;Gipuzkoa;Segundo;3,9
TODOS LOS CENTROS;AMBOS SEXOS;Gipuzkoa;Tercero;2,5
TODOS LOS CENTROS;AMBOS SEXOS;Gipuzkoa;Cuarto;1,7
TODOS LOS CENTROS;AMBOS SEXOS;Bizkaia;Total;3,5
TODOS LOS CENTROS;AMBOS SEXOS;Bizkaia;Primero;4,8
TODOS LOS CENTROS;AMBOS SEXOS;Bizkaia;Segundo;4
TODOS LOS CENTROS;AMBOS SEXOS;Bizkaia;Tercero;3
TODOS LOS CENTROS;AMBOS SEXOS;Bizkaia;Cuarto;2,2
TODOS LOS CENTROS;AMBOS SEXOS;17 RIOJA, LA;Total;3,7
TODOS LOS CENTROS;AMBOS SEXOS;17 RIOJA, LA;Primero;6,2
TODOS LOS CENTROS;AMBOS SEXOS;17 RIOJA, LA;Segundo;2,9
TODOS LOS CENTROS;AMBOS SEXOS;17 RIOJA, LA;Tercero;2,7
TODOS LOS CENTROS;AMBOS SEXOS;17 RIOJA, LA;Cuarto;2,7
TODOS LOS CENTROS;AMBOS SEXOS;18 CEUTA;Total;4,2
TODOS LOS CENTROS;AMBOS SEXOS;18 CEUTA;Primero;6
TODOS LOS CENTROS;AMBOS SEXOS;18 CEUTA;Segundo;3,5
TODOS LOS CENTROS;AMBOS SEXOS;18 CEUTA;Tercero;3,6
TODOS LOS CENTROS;AMBOS SEXOS;18 CEUTA;Cuarto;3,1
TODOS LOS CENTROS;AMBOS SEXOS;19 MELILLA;Total;9,5
TODOS LOS CENTROS;AMBOS SEXOS;19 MELILLA;Primero;13,8
TODOS LOS CENTROS;AMBOS SEXOS;19 MELILLA;Segundo;8,9
TODOS LOS CENTROS;AMBOS SEXOS;19 MELILLA;Tercero;7,5
TODOS LOS CENTROS;AMBOS SEXOS;19 MELILLA;Cuarto;6,2
TODOS LOS CENTROS;Hombres;00 TOTAL;Total;4,9
TODOS LOS CENTROS;Hombres;00 TOTAL;Primero;5,9
TODOS LOS CENTROS;Hombres;00 TOTAL;Segundo;5,2
TODOS LOS CENTROS;Hombres;00 TOTAL;Tercero;4,5
TODOS LOS CENTROS;Hombres;00 TOTAL;Cuarto;4
TODOS LOS CENTROS;Hombres;01 ANDALUCÍA;Total;7,5
TODOS LOS CENTROS;Hombres;01 ANDALUCÍA;Primero;9
TODOS LOS CENTROS;Hombres;01 ANDALUCÍA;Segundo;8,6
TODOS LOS CENTROS;Hombres;01 ANDALUCÍA;Tercero;6,4
TODOS LOS CENTROS;Hombres;01 ANDALUCÍA;Cuarto;5,1
TODOS LOS CENTROS;Hombres;Almería;Total;10,3
TODOS LOS CENTROS;Hombres;Almería;Primero;12,6
TODOS LOS CENTROS;Hombres;Almería;Segundo;11,4
TODOS LOS CENTROS;Hombres;Almería;Tercero;9,3
TODOS LOS CENTROS;Hombres;Almería;Cuarto;6,4
TODOS LOS CENTROS;Hombres;Cádiz;Total;6,8
TODOS LOS CENTROS;Hombres;Cádiz;Primero;7,5
TODOS LOS CENTROS;Hombres;Cádiz;Segundo;8
TODOS LOS CENTROS;Hombres;Cádiz;Tercero;6,3
TODOS LOS CENTROS;Hombres;Cádiz;Cuarto;5,1
TODOS LOS CENTROS;Hombres;Córdoba;Total;5,3
TODOS LOS CENTROS;Hombres;Córdoba;Primero;7,7
TODOS LOS CENTROS;Hombres;Córdoba;Segundo;5,8
TODOS LOS CENTROS;Hombres;Córdoba;Tercero;4,2
TODOS LOS CENTROS;Hombres;Córdoba;Cuarto;2,5
TODOS LOS CENTROS;Hombres;Granada;Total;6,6
TODOS LOS CENTROS;Hombres;Granada;Primero;8,7
TODOS LOS CENTROS;Hombres;Granada;Segundo;6,7
TODOS LOS CENTROS;Hombres;Granada;Tercero;5,4
TODOS LOS CENTROS;Hombres;Granada;Cuarto;5,2
TODOS LOS CENTROS;Hombres;Huelva;Total;8,7
TODOS LOS CENTROS;Hombres;Huelva;Primero;10,7
TODOS LOS CENTROS;Hombres;Huelva;Segundo;9,8
